Symbol(CUSIP),Security Description,Quantity,Date Acquired,Date Sold,Proceeds,Cost Basis,Short Term Gain/Loss,Long Term Gain/Loss
AAPL(037833100),"APPLE INC COM USD0.00001",20.00000,07/21/2020,07/21/2020,"$7809.82 ","$7790.00 ","$19.82 ",-
ABBV(00287Y109),"ABBVIE INC COM USD0.01",50.00000,07/16/2020,07/20/2020,"$4965.39 ","$4986.50 ","($21.11)",-
ABBV(00287Y109),"ABBVIE INC COM USD0.01",50.00000,07/17/2020,07/20/2020,"$5027.88 ","$4986.50 ","$41.38 ",-
ABBV(00287Y109),"ABBVIE INC COM USD0.01",100.00000,01/13/2020,01/15/2020,"$8878.82 ","$8856.00 ","$22.82 ",-
ABBV(00287Y109),"ABBVIE INC COM USD0.01",100.00000,01/13/2020,01/15/2020,"$8878.82 ","$8850.87 ","$27.95 ",-
ABBV(00287Y109),"ABBVIE INC COM USD0.01",100.00000,01/14/2020,01/15/2020,"$8878.82 ","$8754.41 ","$124.41 ",-
ABBV(00287Y109),"ABBVIE INC COM USD0.01",100.00000,01/14/2020,01/15/2020,"$8878.80 ","$8750.00 ","$128.80 ",-
ABBV(00287Y109),"ABBVIE INC COM USD0.01",30.00000,12/31/2019,01/08/2020,"$2697.54 ","$2640.00 ","$57.54 ",-
ABBV(00287Y109),"ABBVIE INC COM USD0.01",50.00000,01/03/2020,01/08/2020,"$4495.91 ","$4417.50 ","$78.41 ",-
ABBV(00287Y109),"ABBVIE INC COM USD0.01",50.00000,01/06/2020,01/08/2020,"$4495.91 ","$4425.00 ","$70.91 ",-
ABBV(00287Y109),"ABBVIE INC COM USD0.01",50.00000,01/07/2020,01/08/2020,"$4495.90 ","$4450.00 ","$45.90 ",-
AMD(007903107),"ADVANCED MICRO DEVICES INC COM",100.00000,07/22/2020,07/23/2020,"$5789.87 ","$5948.00 ","($158.13)",-
,,,,Wash Sale,"$0.00 ","($158.13)","$158.13 ",-
AMD(007903107),"ADVANCED MICRO DEVICES INC COM",100.00000,07/22/2020,07/23/2020,"$6079.86 ","$6058.13 ","$21.73 ",-
AMD(007903107),"ADVANCED MICRO DEVICES INC COM",100.00000,07/22/2020,07/23/2020,"$6039.86 ","$5900.00 ","$139.86 ",-
AMD(007903107),"ADVANCED MICRO DEVICES INC COM",100.00000,07/21/2020,07/21/2020,"$5695.87 ","$5680.00 ","$15.87 ",-
AMD(007903107),"ADVANCED MICRO DEVICES INC COM",100.00000,07/21/2020,07/21/2020,"$5695.87 ","$5680.00 ","$15.87 ",-
AXP(025816109),"AMERICAN EXPRESS CO COM USD0.20",50.00000,07/17/2020,07/17/2020,"$4802.89 ","$4759.45 ","$43.44 ",-
BA(097023105),"BOEING CO COM USD5.00",100.00000,07/20/2020,07/22/2020,"$17359.61 ","$17580.00 ","($220.39)",-
BA(097023105),"BOEING CO COM USD5.00",50.00000,07/20/2020,07/22/2020,"$8794.30 ","$8790.00 ","$4.30 ",-
BA(097023105),"BOEING CO COM USD5.00",100.00000,07/21/2020,07/22/2020,"$18149.59 ","$17580.00 ","$569.59 ",-
BA(097023105),"BOEING CO COM USD5.00",50.00000,07/15/2020,07/16/2020,"$9393.29 ","$9115.00 ","$278.29 ",-
BA(097023105),"BOEING CO COM USD5.00",50.00000,07/16/2020,07/16/2020,"$9059.79 ","$8902.00 ","$157.79 ",-
BAC(060505104),"BK OF AMERICA CORP COM",100.00000,07/16/2020,07/17/2020,"$2396.94 ","$2348.00 ","$48.94 ",-
BAC(060505104),"BK OF AMERICA CORP COM",100.00000,07/17/2020,07/17/2020,"$2356.94 ","$2348.00 ","$8.94 ",-
BAC(060505104),"BK OF AMERICA CORP COM",100.00000,07/15/2020,07/16/2020,"$2461.94 ","$2403.00 ","$58.94 ",-
BAC(060505104),"BK OF AMERICA CORP COM",100.00000,03/23/2020,05/26/2020,"$2399.94 ","$2615.64 ","($215.70)",-
BAC(060505104),"BK OF AMERICA CORP COM",100.00000,05/05/2020,05/26/2020,"$2399.95 ","$2336.00 ","$63.95 ",-
BAC(060505104),"BK OF AMERICA CORP COM",100.00000,05/05/2020,05/26/2020,"$2399.95 ","$2334.00 ","$65.95 ",-
BAC(060505104),"BK OF AMERICA CORP COM",100.00000,05/05/2020,05/26/2020,"$2399.95 ","$2330.00 ","$69.95 ",-
BAC(060505104),"BK OF AMERICA CORP COM",100.00000,05/07/2020,05/26/2020,"$2399.95 ","$2324.59 ","$75.36 ",-
BAC(060505104),"BK OF AMERICA CORP COM",100.00000,05/08/2020,05/26/2020,"$2399.94 ","$2350.00 ","$49.94 ",-
BAC(060505104),"BK OF AMERICA CORP COM",30.00000,03/03/2020,04/14/2020,"$708.88 ","$813.02 ","($104.14)",-
,,,,Wash Sale,"$0.00 ","($104.14)","$104.14 ",-
BAC(060505104),"BK OF AMERICA CORP COM",70.00000,03/03/2020,04/14/2020,"$1654.06 ","$1898.78 ","($244.72)",-
BAC(060505104),"BK OF AMERICA CORP COM",70.00000,04/03/2020,04/14/2020,"$1654.06 ","$1438.58 ","$215.48 ",-
,,,,Wash Sale,"$0.00 ","($244.72)","$244.72 ",-
BAC(060505104),"BK OF AMERICA CORP COM",50.00000,04/06/2020,04/14/2020,"$1181.47 ","$1068.00 ","$113.47 ",-
BAC(060505104),"BK OF AMERICA CORP COM",100.00000,04/07/2020,04/14/2020,"$2362.96 ","$2228.00 ","$134.96 ",-
BAC(060505104),"BK OF AMERICA CORP COM",100.00000,04/06/2020,04/07/2020,"$2245.23 ","$2116.00 ","$129.23 ",-
BAC(060505104),"BK OF AMERICA CORP COM",100.00000,03/03/2020,04/06/2020,"$2131.95 ","$2838.00 ","($706.05)",-
,,,,Wash Sale,"$0.00 ","($706.05)","$706.05 ",-
BAC(060505104),"BK OF AMERICA CORP COM",20.00000,03/16/2020,04/06/2020,"$426.39 ","$407.20 ","$19.19 ",-
BAC(060505104),"BK OF AMERICA CORP COM",50.00000,03/26/2020,04/06/2020,"$1065.97 ","$1100.00 ","($34.03)",-
,,,,Wash Sale,"$0.00 ","($34.03)","$34.03 ",-
BAC(060505104),"BK OF AMERICA CORP COM",20.00000,03/16/2020,03/18/2020,"$413.09 ","$400.00 ","$13.09 ",-
DAL(247361702),"DELTA AIR LINES INC DEL COM NEW",50.00000,03/03/2020,06/03/2020,"$1418.97 ","$2422.00 ","($1003.03)",-
DAL(247361702),"DELTA AIR LINES INC DEL COM NEW",30.00000,03/04/2020,06/03/2020,"$851.38 ","$1441.50 ","($590.12)",-
DAL(247361702),"DELTA AIR LINES INC DEL COM NEW",30.00000,03/05/2020,06/03/2020,"$851.38 ","$1372.50 ","($521.12)",-
DAL(247361702),"DELTA AIR LINES INC DEL COM NEW",50.00000,03/03/2020,06/03/2020,"$1418.97 ","$2204.03 ","($785.06)",-
DAL(247361702),"DELTA AIR LINES INC DEL COM NEW",50.00000,04/16/2020,06/03/2020,"$1418.97 ","$1140.00 ","$278.97 ",-
DAL(247361702),"DELTA AIR LINES INC DEL COM NEW",200.00000,04/16/2020,06/03/2020,"$5675.87 ","$4554.00 ","$1121.87 ",-
DAL(247361702),"DELTA AIR LINES INC DEL COM NEW",300.00000,04/17/2020,06/03/2020,"$8513.81 ","$7239.00 ","$1274.81 ",-
DAL(247361702),"DELTA AIR LINES INC DEL COM NEW",100.00000,04/17/2020,06/03/2020,"$2837.93 ","$2413.00 ","$424.93 ",-
DAL(247361702),"DELTA AIR LINES INC DEL COM NEW",100.00000,03/18/2020,04/03/2020,"$2097.95 ","$2239.00 ","($141.05)",-
DAL(247361702),"DELTA AIR LINES INC DEL COM NEW",50.00000,03/03/2020,03/24/2020,"$1317.97 ","$2422.00 ","($1104.03)",-
,,,,Wash Sale,"$0.00 ","($1104.03)","$1104.03 ",-
DG(256677105),"DOLLAR GEN CORP NEW COM",100.00000,07/20/2020,07/21/2020,"$19099.57 ","$19050.00 ","$49.57 ",-
DG(256677105),"DOLLAR GEN CORP NEW COM",50.00000,07/16/2020,07/17/2020,"$9436.79 ","$9422.00 ","$14.79 ",-
DG(256677105),"DOLLAR GEN CORP NEW COM",50.00000,07/17/2020,07/17/2020,"$9449.29 ","$9422.00 ","$27.29 ",-
DG(256677105),"DOLLAR GEN CORP NEW COM",50.00000,06/04/2020,06/05/2020,"$9328.29 ","$9265.50 ","$62.79 ",-
DIS(254687106),"DISNEY WALT CO",50.00000,07/20/2020,07/21/2020,"$5899.86 ","$5951.50 ","($51.64)",-
DIS(254687106),"DISNEY WALT CO",50.00000,07/21/2020,07/21/2020,"$5999.86 ","$5951.50 ","$48.36 ",-
DIS(254687106),"DISNEY WALT CO",50.00000,07/21/2020,07/21/2020,"$5994.36 ","$5951.50 ","$42.86 ",-
DIS(254687106),"DISNEY WALT CO",100.00000,07/15/2020,07/16/2020,"$12099.73 ","$11889.00 ","$210.73 ",-
DIS(254687106),"DISNEY WALT CO",20.00000,03/18/2020,03/18/2020,"$1634.56 ","$1600.40 ","$34.16 ",-
EADSY(009279100),"AIRBUS SE UNSPON ADREA REPR 0.25 ORD EUR1",100.00000,06/23/2020,07/06/2020,"$1902.95 ","$1880.00 ","$22.95 ",-
INTC(458140100),"INTEL CORP COM USD0.001",100.00000,07/22/2020,07/22/2020,"$6149.86 ","$6100.00 ","$49.86 ",-
INTC(458140100),"INTEL CORP COM USD0.001",100.00000,07/21/2020,07/21/2020,"$6099.86 ","$6079.00 ","$20.86 ",-
JNJ(478160104),"JOHNSON &JOHNSON COMUSD1.00",20.00000,07/15/2020,07/22/2020,"$2988.33 ","$2986.67 ","$1.66 ",-
JNJ(478160104),"JOHNSON &JOHNSON COMUSD1.00",80.00000,07/17/2020,07/22/2020,"$11953.33 ","$11880.00 ","$73.33 ",-
JNJ(478160104),"JOHNSON &JOHNSON COMUSD1.00",20.00000,07/14/2020,07/16/2020,"$2922.53 ","$2939.20 ","($16.67)",-
,,,,Wash Sale,"$0.00 ","($16.67)","$16.67 ",-
JNJ(478160104),"JOHNSON &JOHNSON COMUSD1.00",20.00000,07/15/2020,07/16/2020,"$2975.53 ","$2939.20 ","$36.33 ",-
JNJ(478160104),"JOHNSON &JOHNSON COMUSD1.00",20.00000,07/15/2020,07/16/2020,"$2979.13 ","$2939.20 ","$39.93 ",-
JNJ(478160104),"JOHNSON &JOHNSON COMUSD1.00",100.00000,07/15/2020,07/16/2020,"$14839.67 ","$14696.00 ","$143.67 ",-
JNJ(478160104),"JOHNSON &JOHNSON COMUSD1.00",50.00000,01/07/2020,01/08/2020,"$7241.35 ","$7159.00 ","$82.35 ",-
JPM(46625H100),"JPMORGAN CHASE & CO COM USD1.00",100.00000,07/22/2020,07/22/2020,"$9899.78 ","$9840.00 ","$59.78 ",-
JPM(46625H100),"JPMORGAN CHASE & CO COM USD1.00",100.00000,07/17/2020,07/17/2020,"$9909.78 ","$9866.00 ","$43.78 ",-
JPM(46625H100),"JPMORGAN CHASE & CO COM USD1.00",100.00000,07/16/2020,07/16/2020,"$9988.77 ","$9950.00 ","$38.77 ",-
JPM(46625H100),"JPMORGAN CHASE & CO COM USD1.00",20.00000,04/16/2020,04/17/2020,"$1839.96 ","$1770.00 ","$69.96 ",-
JPM(46625H100),"JPMORGAN CHASE & CO COM USD1.00",50.00000,04/16/2020,04/17/2020,"$4599.90 ","$4425.00 ","$174.90 ",-
JPM(46625H100),"JPMORGAN CHASE & CO COM USD1.00",30.00000,04/16/2020,04/17/2020,"$2759.93 ","$2626.13 ","$133.80 ",-
JPM(46625H100),"JPMORGAN CHASE & CO COM USD1.00",50.00000,04/08/2020,04/08/2020,"$4722.18 ","$4650.00 ","$72.18 ",-
JPM(46625H100),"JPMORGAN CHASE & CO COM USD1.00",50.00000,04/08/2020,04/08/2020,"$4722.18 ","$4650.00 ","$72.18 ",-
KO(191216100),"COCA COLA CO",100.00000,07/16/2020,07/16/2020,"$4662.89 ","$4608.00 ","$54.89 ",-
KO(191216100),"COCA COLA CO",50.00000,06/04/2020,06/05/2020,"$2431.53 ","$2381.91 ","$49.62 ",-
KO(191216100),"COCA COLA CO",20.00000,05/04/2020,05/05/2020,"$921.98 ","$896.60 ","$25.38 ",-
KO(191216100),"COCA COLA CO",50.00000,05/04/2020,05/05/2020,"$2304.95 ","$2247.75 ","$57.20 ",-
KO(191216100),"COCA COLA CO",100.00000,05/05/2020,05/05/2020,"$4609.89 ","$4592.00 ","$17.89 ",-
MRK(58933Y105),"MERCK &CO. INC COM",50.00000,12/31/2019,01/06/2020,"$4583.40 ","$4527.50 ","$55.90 ",-
NVS(66987V109),"NOVARTIS AG SPONSORED ADR",50.00000,12/31/2019,01/06/2020,"$4764.40 ","$4718.00 ","$46.40 ",-
OLN(680665205),"OLIN CORP NEW",99.00000,07/15/2020,07/16/2020,"$1241.43 ","$1205.82 ","$35.61 ",-
OLN(680665205),"OLIN CORP NEW",1.00000,07/15/2020,07/16/2020,"$12.53 ","$12.18 ","$0.35 ",-
OLN(680665205),"OLIN CORP NEW",100.00000,06/18/2020,07/15/2020,"$1216.97 ","$1269.00 ","($52.03)",-
OLN(680665205),"OLIN CORP NEW",100.00000,06/19/2020,07/15/2020,"$1216.97 ","$1250.00 ","($33.03)",-
OLN(680665205),"OLIN CORP NEW",200.00000,06/25/2020,07/15/2020,"$2433.94 ","$2238.00 ","$195.94 ",-
OLN(680665205),"OLIN CORP NEW",200.00000,07/06/2020,07/15/2020,"$2433.95 ","$2268.00 ","$165.95 ",-
OLN(680665205),"OLIN CORP NEW",100.00000,05/22/2020,05/26/2020,"$1132.97 ","$1090.00 ","$42.97 ",-
OLN(680665205),"OLIN CORP NEW",50.00000,03/03/2020,04/09/2020,"$742.23 ","$835.00 ","($92.77)",-
OLN(680665205),"OLIN CORP NEW",50.00000,03/03/2020,04/09/2020,"$742.23 ","$784.03 ","($41.80)",-
OLN(680665205),"OLIN CORP NEW",100.00000,04/06/2020,04/09/2020,"$1484.47 ","$1250.00 ","$234.47 ",-
OLN(680665205),"OLIN CORP NEW",200.00000,04/08/2020,04/09/2020,"$2968.93 ","$2680.00 ","$288.93 ",-
OLN(680665205),"OLIN CORP NEW",50.00000,03/03/2020,03/24/2020,"$550.97 ","$835.00 ","($284.03)",-
,,,,Wash Sale,"$0.00 ","($284.03)","$284.03 ",-
OSK(688239201),"OSHKOSH CORP COM",70.00000,07/16/2020,07/16/2020,"$5508.17 ","$5462.10 ","$46.07 ",-
OSK(688239201),"OSHKOSH CORP COM",30.00000,07/16/2020,07/16/2020,"$2360.65 ","$2340.90 ","$19.75 ",-
PFE(717081103),"PFIZER INC",100.00000,07/20/2020,07/20/2020,"$3684.16 ","$3651.00 ","$33.16 ",-
PK(700517105),"PARK HOTELS RESORTS INC COM",100.00000,06/17/2020,07/15/2020,"$993.98 ","$1122.00 ","($128.02)",-
PK(700517105),"PARK HOTELS RESORTS INC COM",100.00000,06/18/2020,07/15/2020,"$993.98 ","$1109.00 ","($115.02)",-
PK(700517105),"PARK HOTELS RESORTS INC COM",100.00000,06/22/2020,07/15/2020,"$993.98 ","$1020.00 ","($26.02)",-
PK(700517105),"PARK HOTELS RESORTS INC COM",100.00000,06/25/2020,07/15/2020,"$993.98 ","$1001.98 ","($8.00)",-
PK(700517105),"PARK HOTELS RESORTS INC COM",100.00000,07/06/2020,07/15/2020,"$993.98 ","$954.00 ","$39.98 ",-
PK(700517105),"PARK HOTELS RESORTS INC COM",100.00000,07/06/2020,07/15/2020,"$993.98 ","$967.00 ","$26.98 ",-
PK(700517105),"PARK HOTELS RESORTS INC COM",200.00000,07/07/2020,07/15/2020,"$1987.96 ","$1820.00 ","$167.96 ",-
PK(700517105),"PARK HOTELS RESORTS INC COM",200.00000,07/10/2020,07/15/2020,"$1987.94 ","$1870.00 ","$117.94 ",-
PK(700517105),"PARK HOTELS RESORTS INC COM",100.00000,06/15/2020,06/15/2020,"$1163.97 ","$1109.00 ","$54.97 ",-
PK(700517105),"PARK HOTELS RESORTS INC COM",200.00000,05/05/2020,05/26/2020,"$2018.17 ","$1960.04 ","$58.13 ",-
PK(700517105),"PARK HOTELS RESORTS INC COM",100.00000,05/01/2020,05/18/2020,"$817.98 ","$856.00 ","($38.02)",-
,,,,Wash Sale,"$0.00 ","($38.02)","$38.02 ",-
PK(700517105),"PARK HOTELS RESORTS INC COM",100.00000,05/01/2020,05/18/2020,"$817.98 ","$854.00 ","($36.02)",-
,,,,Wash Sale,"$0.00 ","($36.02)","$36.02 ",-
PK(700517105),"PARK HOTELS RESORTS INC COM",100.00000,05/15/2020,05/18/2020,"$817.98 ","$732.00 ","$85.98 ",-
PK(700517105),"PARK HOTELS RESORTS INC COM",100.00000,05/15/2020,05/18/2020,"$817.98 ","$732.00 ","$85.98 ",-
PK(700517105),"PARK HOTELS RESORTS INC COM",100.00000,04/07/2020,04/29/2020,"$1060.98 ","$792.50 ","$268.48 ",-
PK(700517105),"PARK HOTELS RESORTS INC COM",300.00000,04/09/2020,04/29/2020,"$3182.92 ","$2640.00 ","$542.92 ",-
RDS A(780259206),"ROYAL DUTCH SHELL ADR EA REP 2 CL A EUR0.07",100.00000,07/03/2020,07/13/2020,"$3264.93 ","$3267.08 ","($2.15)",-
RDS A(780259206),"ROYAL DUTCH SHELL ADR EA REP 2 CL A EUR0.07",100.00000,07/08/2020,07/13/2020,"$3264.93 ","$3278.00 ","($13.07)",-
RDS A(780259206),"ROYAL DUTCH SHELL ADR EA REP 2 CL A EUR0.07",200.00000,07/10/2020,07/13/2020,"$6529.85 ","$6416.00 ","$113.85 ",-
RDS A(780259206),"ROYAL DUTCH SHELL ADR EA REP 2 CL A EUR0.07",100.00000,06/17/2020,06/22/2020,"$3432.92 ","$3450.00 ","($17.08)",-
,,,,Wash Sale,"$0.00 ","($17.08)","$17.08 ",-
RDS A(780259206),"ROYAL DUTCH SHELL ADR EA REP 2 CL A EUR0.07",100.00000,06/17/2020,06/22/2020,"$3432.92 ","$3417.36 ","$15.56 ",-
RDS A(780259206),"ROYAL DUTCH SHELL ADR EA REP 2 CL A EUR0.07",200.00000,06/19/2020,06/22/2020,"$6865.85 ","$6800.00 ","$65.85 ",-
SNY(80105N105),"SANOFI SPONSORED ADR",50.00000,12/31/2019,01/06/2020,"$2557.94 ","$2506.50 ","$51.44 ",-
SPR(848574109),"SPIRIT AEROSYSTEMS HLDGS INC CL A",100.00000,07/16/2020,07/16/2020,"$2380.94 ","$2350.00 ","$30.94 ",-
UAL(910047109),"UNITED AIRLS HLDGS INC COM",200.00000,07/17/2020,07/17/2020,"$6777.85 ","$6720.00 ","$57.85 ",-
UNH(91324P102),"UNITEDHEALTH GROUP",20.00000,07/21/2020,07/21/2020,"$6119.86 ","$6074.00 ","$45.86 ",-
UNH(91324P102),"UNITEDHEALTH GROUP",20.00000,07/17/2020,07/17/2020,"$6189.86 ","$6178.60 ","$11.26 ",-
UNH(91324P102),"UNITEDHEALTH GROUP",80.00000,07/17/2020,07/17/2020,"$24759.45 ","$24714.40 ","$45.05 ",-
UNH(91324P102),"UNITEDHEALTH GROUP",15.00000,07/15/2020,07/16/2020,"$4656.05 ","$4643.66 ","$12.39 ",-
UNH(91324P102),"UNITEDHEALTH GROUP",85.00000,07/16/2020,07/16/2020,"$26384.26 ","$26231.00 ","$153.26 ",-
UNH(91324P102),"UNITEDHEALTH GROUP",100.00000,07/16/2020,07/16/2020,"$30733.32 ","$30614.00 ","$119.32 ",-
UNH(91324P102),"UNITEDHEALTH GROUP",15.00000,07/14/2020,07/15/2020,"$4564.99 ","$4579.65 ","($14.66)",-
,,,,Wash Sale,"$0.00 ","($14.66)","$14.66 ",-
UNH(91324P102),"UNITEDHEALTH GROUP",15.00000,07/14/2020,07/15/2020,"$4619.14 ","$4579.65 ","$39.49 ",-
UNH(91324P102),"UNITEDHEALTH GROUP",30.00000,07/15/2020,07/15/2020,"$9314.49 ","$9159.30 ","$155.19 ",-
UNH(91324P102),"UNITEDHEALTH GROUP",20.00000,04/02/2020,04/03/2020,"$4546.69 ","$4574.00 ","($27.31)",-
UNH(91324P102),"UNITEDHEALTH GROUP",20.00000,03/18/2020,03/23/2020,"$4091.90 ","$3982.40 ","$109.50 ",-
UNH(91324P102),"UNITEDHEALTH GROUP",100.00000,01/17/2020,01/21/2020,"$30099.37 ","$29812.00 ","$287.37 ",-
WFC(949746101),"WELLS FARGO CO NEW COM",100.00000,07/15/2020,07/16/2020,"$2529.16 ","$2526.24 ","$2.92 ",-
WFC(949746101),"WELLS FARGO CO NEW COM",100.00000,07/16/2020,07/16/2020,"$2561.94 ","$2526.24 ","$35.70 ",-
WFC(949746101),"WELLS FARGO CO NEW COM",100.00000,07/16/2020,07/16/2020,"$2603.94 ","$2526.24 ","$77.70 ",-
WFC(949746101),"WELLS FARGO CO NEW COM",100.00000,05/04/2020,05/27/2020,"$2769.94 ","$2720.00 ","$49.94 ",-
WFC(949746101),"WELLS FARGO CO NEW COM",100.00000,05/05/2020,05/27/2020,"$2769.94 ","$2697.44 ","$72.50 ",-
WFC(949746101),"WELLS FARGO CO NEW COM",50.00000,05/08/2020,05/27/2020,"$1384.96 ","$1279.86 ","$105.10 ",-
WFC(949746101),"WELLS FARGO CO NEW COM",50.00000,05/08/2020,05/27/2020,"$1386.46 ","$1279.86 ","$106.60 ",-
WMT(931142103),"WALMART INC COM",20.00000,07/15/2020,07/17/2020,"$2632.14 ","$2659.66 ","($27.52)",-
WMT(931142103),"WALMART INC COM",30.00000,07/16/2020,07/17/2020,"$3948.21 ","$3952.50 ","($4.29)",-
WMT(931142103),"WALMART INC COM",50.00000,07/17/2020,07/17/2020,"$6633.35 ","$6587.50 ","$45.85 ",-
WMT(931142103),"WALMART INC COM",86.00000,07/17/2020,07/17/2020,"$11387.86 ","$11330.50 ","$57.36 ",-
WMT(931142103),"WALMART INC COM",14.00000,07/17/2020,07/17/2020,"$1853.83 ","$1844.50 ","$9.33 ",-
WMT(931142103),"WALMART INC COM",20.00000,07/14/2020,07/15/2020,"$2616.94 ","$2641.60 ","($24.66)",-
,,,,Wash Sale,"$0.00 ","($24.66)","$24.66 ",-
WMT(931142103),"WALMART INC COM",20.00000,07/15/2020,07/15/2020,"$2649.34 ","$2641.60 ","$7.74 ",-
WMT(931142103),"WALMART INC COM",20.00000,07/15/2020,07/15/2020,"$2663.54 ","$2641.60 ","$21.94 ",-
WMT(931142103),"WALMART INC COM",200.00000,07/15/2020,07/15/2020,"$26503.41 ","$26416.00 ","$87.41 ",-
WMT(931142103),"WALMART INC COM",25.00000,06/05/2020,06/16/2020,"$2985.68 ","$3027.00 ","($41.32)",-
WMT(931142103),"WALMART INC COM",25.00000,06/12/2020,06/16/2020,"$2985.68 ","$2937.50 ","$48.18 ",-
WMT(931142103),"WALMART INC COM",100.00000,06/15/2020,06/16/2020,"$11942.74 ","$11795.99 ","$146.75 ",-
